startTime,endTime,actualEndTime,noticeURL
2025-10-22 11:00:00,2025-10-22 19:00:00,2025-10-22 19:00:00,https://bluearchive.jp/news/newsJump/595
2025-11-05 11:00:00,2025-11-05 17:00:00,,https://bluearchive.jp/news/newsJump/601
