id,openTime,closeTime,name,rerun,studentId
842,2024-12-24 11:00:00,2025-01-08 10:59:59,Event_Name_842,FALSE,
843,2025-01-20 11:00:00,2025-02-03 10:59:59,Event_Name_843,FALSE,26014
10832,2025-02-12 11:00:00,2025-02-26 10:59:59,Event_Name_832,TRUE,
844,2025-02-26 11:00:00,2025-03-12 10:59:59,Event_Name_844,FALSE,
845,2025-03-26 11:00:00,2025-04-09 10:59:59,Event_Name_845,FALSE,
10834,2025-04-09 11:00:00,2025-04-16 10:59:59,Event_Name_834,TRUE,
846,2025-04-22 11:00:00,2025-05-07 10:59:59,Event_Name_846,FALSE,16017
10835,2025-05-14 11:00:00,2025-05-21 10:59:59,Event_Name_835,TRUE,
10836,2025-06-04 11:00:00,2025-06-18 10:59:59,Event_Name_836,TRUE,16015
847,2025-06-25 11:00:00,2025-07-09 10:59:59,Event_Name_847,FALSE,
848,2025-07-22 11:00:00,2025-08-06 10:59:59,Event_Name_848,FALSE,26015
10837,2025-08-06 11:00:00,2025-08-13 10:59:59,Event_Name_837,TRUE,26012
849,2025-08-20 11:00:00,2025-09-03 10:59:59,Event_Name_849,FALSE,
10838,2025-09-03 11:00:00,2025-09-17 10:59:59,Event_Name_838,TRUE,26013
850,2025-09-24 11:00:00,2025-10-15 10:59:59,Event_Name_850,FALSE,
851,2025-10-22 11:00:00,2025-11-05 10:59:59,Event_Name_851,FALSE,16018
10839,2025-11-05 11:00:00,2025-11-12 10:59:59,Event_Name_839,TRUE,
852,2025-11-19 11:00:00,2025-12-03 10:59:59,Event_Name_852,FALSE,
10841,2025-12-03 11:00:00,2025-12-17 10:59:59,Event_Name_852,TRUE,16016
853,2025-12-24 11:00:00,2026-01-07 10:59:59,Event_Name_853,FALSE,
