season,startTime,endTime,boss,maxDifficulty,prediction
69,2025-05-20 11:00:00,2025-05-27 03:59:59,Hieronymus_Street,Torment
70,2025-06-17 11:00:00,2025-06-24 03:59:59,HoverCraft,Torment
71,2025-07-15 11:00:00,2025-07-22 03:59:59,EN0010,Lunatic
72,2025-08-05 11:00:00,2025-08-12 03:59:59,EN0006,Lunatic
73,2025-09-02 11:00:00,2025-09-09 03:59:59,HoverCraft,Lunatic
74,2025-09-30 11:00:00,2025-10-07 03:59:59,EN0005,Lunatic
75,2025-10-28 11:00:00,2025-11-04 03:59:59,EN0010,Lunatic
76,2025-11-25 11:00:00,2025-12-02 03:59:59,Goz,Lunatic
77,2025-12-23 11:00:00,2025-12-30 03:59:59,HOD,Lunatic
78,2026-01-20 11:00:00,2026-01-27 03:59:59,Perorozilla_Outdoor,Lunatic,true
79,2026-02-24 11:00:00,2026-03-03 03:59:59,EN0010,Lunatic,true
80,2026-03-24 11:00:00,2026-03-31 03:59:59,EN0013,Lunatic,true
81,2026-04-21 11:00:00,2026-04-28 03:59:59,EN0006,Lunatic,true
82,2026-05-26 11:00:00,2026-06-02 03:59:59,HoverCraft,Lunatic,true
