startTime,titleEn,titleKo,titleJa
2025-11-11 11:00:00,Fierce! Mouryo Night!,살벌! 망량즈 나이트!,何にも縛られぬ者たち
2026-05-12 11:00:00,手動期の終り,수동기의 끝,手動期の終わり
